farm,treatment,endpoint,month,month_mean,overall_mean,max,days_survival,years_survival,mean_annual_colonies,mean_annual_bees,queen_mortality,queen_survival,new_queens,surviving_queens,proportion_queens_surviving
CH,alt gdn,TotalAdultWorkers,March,0,58.39452826,673.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn pasture,TotalAdultWorkers,March,0,50.80424715,688.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,gdn,TotalAdultWorkers,March,0,48.45532,633.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,no gdn,TotalAdultWorkers,March,0,41.77791657,648.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,alt gdn,TotalAdultWorkers,March,0,38.65022684,530.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,gdn pasture,TotalAdultWorkers,March,0,45.81055477,651,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn,TotalAdultWorkers,March,6.84,94.66100767,853.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,no gdn,TotalAdultWorkers,March,0,52.01099309,625.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,alt gdn,TotalAdultWorkers,March,0,55.22613233,683.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn pasture,TotalAdultWorkers,March,0,48.9421721,673.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn,TotalAdultWorkers,March,0,60.30776978,641.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,no gdn,TotalAdultWorkers,March,0,47.04254158,684.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,alt gdn,TotalAdultWorkers,March,0,40.82571893,655.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn pasture,TotalAdultWorkers,March,0,43.63220273,586.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn,TotalAdultWorkers,March,6.6,74.64939759,766.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,no gdn,TotalAdultWorkers,March,0,44.14999125,608.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,alt gdn,TotalAdultWorkers,March,0,52.30466828,673.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn pasture,TotalAdultWorkers,March,0,47.74260065,657.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn,TotalAdultWorkers,March,0.84,86.14828262,777,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,no gdn,TotalAdultWorkers,March,0,53.35974116,676.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,alt gdn,TotalAdultWorkers,March,0,55.20529458,739.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn pasture,TotalAdultWorkers,March,0,53.92030813,672.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn,TotalAdultWorkers,March,5.4,85.93029632,855,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,no gdn,TotalAdultWorkers,March,0,49.2535158,692.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,alt gdn,TotalAdultWorkers,March,0,57.96705323,707.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn pasture,TotalAdultWorkers,March,0,57.36881937,699.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn,TotalAdultWorkers,March,0,54.27334166,651,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,no gdn,TotalAdultWorkers,March,0,55.01782207,708.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,alt gdn,TotalAdultWorkers,March,0,59.49834537,758.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn pasture,TotalAdultWorkers,March,0,46.97961757,655.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn,TotalAdultWorkers,March,1.92,79.07634502,815.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,no gdn,TotalAdultWorkers,March,0,46.62259696,655.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,alt gdn,TotalAdultWorkers,March,0,48.48302984,621.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn pasture,TotalAdultWorkers,March,0,55.01939021,667.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn,TotalAdultWorkers,March,3.36,54.51246135,645.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,no gdn,TotalAdultWorkers,March,0,36.25948778,556.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,alt gdn,TotalAdultWorkers,March,0,41.5702756,602.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn pasture,TotalAdultWorkers,March,0,45.1654779,587.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn,TotalAdultWorkers,March,0,54.89691593,693,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,no gdn,TotalAdultWorkers,March,0,59.82627185,723.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,alt gdn,TotalAdultWorkers,March,0,50.18324105,640.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn pasture,TotalAdultWorkers,March,0,60.5179224,766.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn,TotalBeesEverProduced,March,16071.84,19788.50459,32401.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,no gdn,TotalBeesEverProduced,March,11544.37,14116.40492,21751.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,alt gdn,TotalBeesEverProduced,March,12682.95,15359.44538,23931,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn pasture,TotalBeesEverProduced,March,12909.07,15721.93913,24812.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn,TotalBeesEverProduced,March,18134.52,22304.12172,36484.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,no gdn,TotalBeesEverProduced,March,12521.61,15417.85009,24937.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,alt gdn,TotalBeesEverProduced,March,15947.52,19773.88841,32955.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn pasture,TotalBeesEverProduced,March,13756.24,16740.3689,26681.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
